train_id,user_id,height,age,sex,disease,BFP,train_count,grade
0,1,175,25,1,,20,0,10
1,1,175,25,1,,20,1,9
2,1,175,25,1,,20,2,8
3,1,175,25,1,,20,3,7
4,1,175,25,1,,20,4,7
5,1,175,25,1,,20,5,6
6,1,175,25,1,,20,6,6
7,1,175,25,1,,20,7,5
8,1,175,25,1,,20,8,5
9,1,175,25,1,,20,9,4
10,1,175,25,1,,20,10,4
11,1,175,25,1,,20,11,3
12,1,175,25,1,,20,12,2
13,2,165,30,2,,25,0,9
14,2,165,30,2,,25,1,8
15,2,165,30,2,,25,2,7
16,2,165,30,2,,25,3,6
17,2,165,30,2,,25,4,6
18,2,165,30,2,,25,5,5
19,2,165,30,2,,25,6,5
20,2,165,30,2,,25,7,4
21,2,165,30,2,,25,8,4
22,2,165,30,2,,25,9,3
23,2,165,30,2,,25,10,3
24,2,165,30,2,,25,11,2
25,2,165,30,2,,25,12,2
26,3,180,22,1,,15,0,8
27,3,180,22,1,,15,1,7
28,3,180,22,1,,15,2,6
29,3,180,22,1,,15,3,6
30,3,180,22,1,,15,4,5
31,3,180,22,1,,15,5,5
32,3,180,22,1,,15,6,4
33,3,180,22,1,,15,7,3
34,3,180,22,1,,15,8,4
35,3,180,22,1,,15,9,3
36,3,180,22,1,,15,10,3
37,4,160,28,2,,22,0,7
38,4,160,28,2,,22,1,6
39,4,160,28,2,,22,2,5
40,4,160,28,2,,22,3,4
41,4,160,28,2,,22,4,4
42,4,160,28,2,,22,5,3
43,4,160,28,2,,22,6,3
44,4,160,28,2,,22,7,3
45,4,160,28,2,,22,8,2
46,4,160,28,2,,22,9,2
47,4,160,28,2,,22,10,2
48,4,160,28,2,,22,11,1
49,5,178,35,1,,18,0,6
50,5,178,35,1,,18,1,6
51,5,178,35,1,,18,2,5
52,5,178,35,1,,18,3,5
53,5,178,35,1,,18,4,4
54,5,178,35,1,,18,5,4
55,5,178,35,1,,18,6,3
56,5,178,35,1,,18,7,3
57,5,178,35,1,,18,8,2
58,6,158,40,2,,30,0,5
59,6,158,40,2,,30,1,5
60,6,158,40,2,,30,2,4
61,6,158,40,2,,30,3,4
62,6,158,40,2,,30,4,3
63,6,158,40,2,,30,5,3
64,6,158,40,2,,30,6,2
65,6,158,40,2,,30,7,2
66,6,158,40,2,,30,8,1
67,7,172,45,1,,25,0,4
68,7,172,45,1,,25,1,4
69,7,172,45,1,,25,2,3
70,7,172,45,1,,25,3,3
71,7,172,45,1,,25,4,2
72,7,172,45,1,,25,5,2
73,7,172,45,1,,25,6,1
74,8,162,33,2,,23,0,7
75,8,162,33,2,,23,1,6
76,8,162,33,2,,23,2,5
77,8,162,33,2,,23,3,6
78,8,162,33,2,,23,4,5
79,8,162,33,2,,23,5,4
80,8,162,33,2,,23,6,4
81,8,162,33,2,,23,7,3
82,8,162,33,2,,23,8,3
83,8,162,33,2,,23,9,2
84,9,177,29,1,,14,0,5
85,9,177,29,1,,14,1,5
86,9,177,29,1,,14,2,4
87,9,177,29,1,,14,3,4
88,9,177,29,1,,14,4,3
89,9,177,29,1,,14,5,3
90,9,177,29,1,,14,6,2
91,9,177,29,1,,14,7,2
92,9,177,29,1,,14,8,2
93,9,177,29,1,,14,9,1
94,10,167,37,2,,28,0,4
95,10,167,37,2,,28,1,4
96,10,167,37,2,,28,2,3
97,10,167,37,2,,28,3,3
98,10,167,37,2,,28,4,3
99,10,167,37,2,,28,5,2
100,10,167,37,2,,28,6,2
101,10,167,37,2,,28,7,2
102,10,167,37,2,,28,8,1
